Age of car,Age of Policy Holder,Type of Fuel,Number of Airbags,Is adjustable staring present,Parking Camera present,Type of brakes in the rear,Engine displacement,Transmission type of the car,Number of gears,Type of power steering,Brake assistant present,is Driver seat height adjustable,day & night rearview mirror is present,speed alert system present,Was the file claimed?,Numnber of other cars in the household,Is the holder a home owner
4,64,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
0,49,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,No
0,48,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
1,42,Petrol,2,Yes,No,Drum,1197,Manual,,Electric,Yes,Yes,Yes,Yes,No,4,Yes
4,42,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,No
0,65,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
3,46,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
4,36,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
0,60,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
1,35,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
1,44,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
3,63,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
0,46,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,3,No
3,44,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,4,No
0,36,Hybrid,2,No,No,Drum,796,Manual,,Power,No,No,No,Yes,No,4,Yes
0,37,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,4,Yes
3,57,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,Yes
2,48,Petrol,2,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
3,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
0,63,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
0,35,,6,Yes,Yes,Disc,1493,,6,Power,,Yes,No,,No,0,
