datestamp,co2
29/03/1958,316.1
05/04/1958,317.3
12/04/1958,317.6
19/04/1958,317.5
26/04/1958,316.4
03/05/1958,316.9
10/05/1958,
17/05/1958,317.5
24/05/1958,317.9
31/05/1958,
07/06/1958,
14/06/1958,
21/06/1958,
28/06/1958,
05/07/1958,315.8
12/07/1958,315.8
19/07/1958,315.4
26/07/1958,315.5
02/08/1958,315.6
09/08/1958,315.1
16/08/1958,315
23/08/1958,
30/08/1958,314.1
06/09/1958,313.5
13/09/1958,
20/09/1958,
27/09/1958,
04/10/1958,
11/10/1958,
18/10/1958,
25/10/1958,
01/11/1958,
08/11/1958,313
15/11/1958,313.2
22/11/1958,313.5
29/11/1958,314
06/12/1958,314.5
13/12/1958,314.4
20/12/1958,314.7
27/12/1958,315.2
03/01/1959,315.2
10/01/1959,315.5
17/01/1959,315.6
24/01/1959,315.8
31/01/1959,315.4
07/02/1959,
14/02/1959,316.9
21/02/1959,316.6
28/02/1959,316.6
07/03/1959,316.8
14/03/1959,
21/03/1959,316.7
28/03/1959,316.7
04/04/1959,317.7
11/04/1959,317.1
18/04/1959,317.6
25/04/1959,318.3
02/05/1959,318.2
09/05/1959,318.7
16/05/1959,318
23/05/1959,318.4
30/05/1959,
06/06/1959,318.5
13/06/1959,318.1
20/06/1959,317.8
27/06/1959,317.7
04/07/1959,316.8
11/07/1959,316.8
18/07/1959,316.4
25/07/1959,316.1
01/08/1959,315.6
08/08/1959,314.9
15/08/1959,
22/08/1959,315
29/08/1959,314.1
05/09/1959,314.4
12/09/1959,313.9
19/09/1959,313.5
26/09/1959,313.5
03/10/1959,313
10/10/1959,313.1
17/10/1959,313.4
24/10/1959,313.4
31/10/1959,314.1
07/11/1959,314.4
14/11/1959,314.8
21/11/1959,315.2
28/11/1959,315.1
05/12/1959,315
12/12/1959,315.6
19/12/1959,315.8
26/12/1959,315.7
02/01/1960,315.7
09/01/1960,316.4
16/01/1960,316.7
23/01/1960,316.5
30/01/1960,316.6
06/02/1960,316.6
13/02/1960,316.9
20/02/1960,317.4
27/02/1960,317
05/03/1960,316.9
12/03/1960,317.7
19/03/1960,318
26/03/1960,317.7
02/04/1960,318.6
09/04/1960,319.3
16/04/1960,319
23/04/1960,319
30/04/1960,319.7
07/05/1960,319.9
14/05/1960,319.8
21/05/1960,320
28/05/1960,320
04/06/1960,319.4
11/06/1960,320
18/06/1960,319.4
25/06/1960,319
02/07/1960,318.1
09/07/1960,318.6
16/07/1960,318.4
23/07/1960,317.9
30/07/1960,317.3
06/08/1960,316.6
13/08/1960,316.7
20/08/1960,315.1
27/08/1960,314.7
03/09/1960,314.7
10/09/1960,314.5
17/09/1960,314.2
24/09/1960,313.3
01/10/1960,313.6
08/10/1960,313.3
15/10/1960,313.9
22/10/1960,314.2
29/10/1960,314.2
05/11/1960,314.5
12/11/1960,315.1
19/11/1960,315.1
26/11/1960,315.4
03/12/1960,315.8
10/12/1960,316
17/12/1960,316.2
24/12/1960,316.4
31/12/1960,316.6
07/01/1961,316.7
14/01/1961,317
21/01/1961,317
28/01/1961,317
04/02/1961,317
11/02/1961,317.7
18/02/1961,317.9
25/02/1961,318
04/03/1961,318
11/03/1961,318.5
18/03/1961,318.9
25/03/1961,318.7
01/04/1961,319.4
08/04/1961,319.5
15/04/1961,318.9
22/04/1961,319.7
29/04/1961,319.6
06/05/1961,320.6
13/05/1961,320.4
20/05/1961,320.6
27/05/1961,320.3
03/06/1961,320
10/06/1961,320
17/06/1961,319.6
24/06/1961,319.4
01/07/1961,319.2
08/07/1961,319
15/07/1961,318.4
22/07/1961,317.1
29/07/1961,317.9
05/08/1961,317.9
12/08/1961,317.3
19/08/1961,316.7
26/08/1961,315.2
02/09/1961,315.2
09/09/1961,314.9
16/09/1961,314.5
23/09/1961,315
30/09/1961,315.6
07/10/1961,314.9
14/10/1961,315.4
21/10/1961,315.4
28/10/1961,315.7
04/11/1961,315.8
11/11/1961,315.7
18/11/1961,316.2
25/11/1961,316.5
02/12/1961,316.5
09/12/1961,317
16/12/1961,316.9
23/12/1961,317.1
30/12/1961,317.4
06/01/1962,317.9
13/01/1962,318.1
20/01/1962,318
27/01/1962,317.7
03/02/1962,318
10/02/1962,318.3
17/02/1962,318.9
24/02/1962,319.3
03/03/1962,319.2
10/03/1962,319.4
17/03/1962,319.9
24/03/1962,319.7
31/03/1962,320.2
07/04/1962,320.2
14/04/1962,321
21/04/1962,320.7
28/04/1962,320.3
05/05/1962,320.8
12/05/1962,320.7
19/05/1962,321
26/05/1962,321.1
02/06/1962,320.9
09/06/1962,320.8
16/06/1962,320.5
23/06/1962,320.1
30/06/1962,320.2
07/07/1962,320.1
14/07/1962,319.9
21/07/1962,319
28/07/1962,318.7
04/08/1962,318.6
11/08/1962,317.2
18/08/1962,317.4
25/08/1962,
01/09/1962,
08/09/1962,
15/09/1962,316.6
22/09/1962,315.7
29/09/1962,315.9
06/10/1962,315.1
13/10/1962,315.4
20/10/1962,315.7
27/10/1962,315.7
03/11/1962,315.9
10/11/1962,316.4
17/11/1962,316.9
24/11/1962,317
01/12/1962,317.1
08/12/1962,317.3
15/12/1962,317.6
22/12/1962,318.1
29/12/1962,
05/01/1963,318.5
12/01/1963,318.7
19/01/1963,318.9
26/01/1963,318.8
02/02/1963,318.7
09/02/1963,318.9
16/02/1963,
23/02/1963,319.3
02/03/1963,319.3
09/03/1963,319.7
16/03/1963,319.8
23/03/1963,320.3
30/03/1963,320.2
06/04/1963,320.3
13/04/1963,320.9
20/04/1963,322
27/04/1963,321.9
04/05/1963,
11/05/1963,321.9
18/05/1963,322.2
25/05/1963,322.2
01/06/1963,322.3
08/06/1963,322
15/06/1963,321.8
22/06/1963,320.8
29/06/1963,320.4
06/07/1963,320.1
13/07/1963,319.8
20/07/1963,319.5
27/07/1963,319
03/08/1963,318.6
10/08/1963,318.2
17/08/1963,317.7
24/08/1963,317.1
31/08/1963,316.4
07/09/1963,316.8
14/09/1963,315.9
21/09/1963,316
28/09/1963,315.9
05/10/1963,316.2
12/10/1963,315.6
19/10/1963,316.1
26/10/1963,316.3
02/11/1963,316.6
09/11/1963,316.8
16/11/1963,317.1
23/11/1963,
30/11/1963,317.5
07/12/1963,318
14/12/1963,318.2
21/12/1963,318.5
28/12/1963,318.7
04/01/1964,319
11/01/1964,319.4
18/01/1964,319.8
25/01/1964,
01/02/1964,
08/02/1964,
15/02/1964,
22/02/1964,
29/02/1964,
07/03/1964,
14/03/1964,
21/03/1964,
28/03/1964,
04/04/1964,
11/04/1964,
18/04/1964,
25/04/1964,
02/05/1964,
09/05/1964,
16/05/1964,
23/05/1964,
30/05/1964,322
06/06/1964,322
13/06/1964,
20/06/1964,
27/06/1964,321.5
04/07/1964,321.1
11/07/1964,319.9
18/07/1964,320.2
25/07/1964,320
01/08/1964,319.1
08/08/1964,
15/08/1964,318.6
22/08/1964,318.2
29/08/1964,318.1
05/09/1964,317.4
12/09/1964,316.5
19/09/1964,315.5
26/09/1964,317
03/10/1964,316.9
10/10/1964,316.5
17/10/1964,316.8
24/10/1964,317
31/10/1964,317.6
07/11/1964,317.7
14/11/1964,317.6
21/11/1964,317.5
28/11/1964,318.1
05/12/1964,318.4
12/12/1964,318.5
19/12/1964,318.9
26/12/1964,318.9
02/01/1965,319
09/01/1965,319.1
16/01/1965,319.1
23/01/1965,319.7
30/01/1965,320.1
06/02/1965,320.2
13/02/1965,320.1
20/02/1965,320.7
27/02/1965,320.8
06/03/1965,321
13/03/1965,320.9
20/03/1965,320.4
27/03/1965,321.4
03/04/1965,321.9
10/04/1965,322.2
17/04/1965,322.1
24/04/1965,321.8
01/05/1965,322.4
08/05/1965,322.2
15/05/1965,321.9
22/05/1965,321.6
29/05/1965,322.2
05/06/1965,321.8
12/06/1965,321.7
19/06/1965,321.7
26/06/1965,321.9
03/07/1965,321.9
10/07/1965,321.8
17/07/1965,321.7
24/07/1965,320.4
31/07/1965,319.4
07/08/1965,319.4
14/08/1965,318
21/08/1965,318.8
28/08/1965,318.7
04/09/1965,318.3
11/09/1965,318
18/09/1965,318.2
25/09/1965,316.8
02/10/1965,316.6
09/10/1965,317.2
16/10/1965,317.8
23/10/1965,317.5
30/10/1965,317.6
06/11/1965,318.3
13/11/1965,319.2
20/11/1965,318.9
27/11/1965,319.1
04/12/1965,319
11/12/1965,319.3
18/12/1965,319.3
25/12/1965,319.7
01/01/1966,319.6
08/01/1966,320.4
15/01/1966,320.6
22/01/1966,321
29/01/1966,321.1
05/02/1966,321.2
12/02/1966,321.7
19/02/1966,321.6
26/02/1966,321.8
05/03/1966,322.1
12/03/1966,322.1
19/03/1966,322.5
26/03/1966,322.8
02/04/1966,323.5
09/04/1966,323.6
16/04/1966,323.8
23/04/1966,323.9
30/04/1966,323.5
07/05/1966,324
14/05/1966,324.1
21/05/1966,323.7
28/05/1966,324.3
04/06/1966,324
11/06/1966,323.8
18/06/1966,323.7
25/06/1966,323.3
02/07/1966,322.8
09/07/1966,322.9
16/07/1966,
23/07/1966,
30/07/1966,
06/08/1966,321.3
13/08/1966,320.8
20/08/1966,319.1
27/08/1966,319.6
03/09/1966,319.9
10/09/1966,318.2
17/09/1966,318.4
24/09/1966,318.3
01/10/1966,317.9
08/10/1966,317.9
15/10/1966,318.2
22/10/1966,318.6
29/10/1966,318.3
05/11/1966,
12/11/1966,319.5
19/11/1966,320
26/11/1966,320.2
03/12/1966,320.8
10/12/1966,320.8
17/12/1966,321.1
24/12/1966,321.3
31/12/1966,321.3
07/01/1967,321.9
14/01/1967,322.9
21/01/1967,
28/01/1967,
04/02/1967,322.1
11/02/1967,322.2
18/02/1967,322.8
25/02/1967,322.6
04/03/1967,322.9
11/03/1967,322.6
18/03/1967,323.3
25/03/1967,323.2
01/04/1967,323.1
08/04/1967,324.2
15/04/1967,324.4
22/04/1967,324.6
29/04/1967,325.1
06/05/1967,325.2
13/05/1967,324.7
20/05/1967,325
27/05/1967,324.9
03/06/1967,324.9
10/06/1967,324.6
17/06/1967,323.3
24/06/1967,323.5
01/07/1967,322.8
08/07/1967,322.8
15/07/1967,322.4
22/07/1967,322.4
29/07/1967,322
05/08/1967,321.6
12/08/1967,321.4
19/08/1967,320.4
26/08/1967,320
02/09/1967,320
09/09/1967,319.4
16/09/1967,319.3
23/09/1967,319
30/09/1967,318.8
07/10/1967,318.8
14/10/1967,319.8
21/10/1967,319.4
28/10/1967,319.8
04/11/1967,320
11/11/1967,320.3
18/11/1967,320.9
25/11/1967,321.5
02/12/1967,321.4
09/12/1967,321.8
16/12/1967,322.2
23/12/1967,321.9
30/12/1967,322.3
06/01/1968,322.4
13/01/1968,322.5
20/01/1968,322.5
27/01/1968,322.8
03/02/1968,322.6
10/02/1968,323.1
17/02/1968,323.4
24/02/1968,323.1
02/03/1968,323.1
09/03/1968,323.8
16/03/1968,323.8
23/03/1968,324.2
30/03/1968,324.7
06/04/1968,324.7
13/04/1968,325
20/04/1968,324.8
27/04/1968,325.4
04/05/1968,325.6
11/05/1968,325
18/05/1968,325.5
25/05/1968,325.8
01/06/1968,325.6
08/06/1968,325.7
15/06/1968,325.5
22/06/1968,324.9
29/06/1968,324.6
06/07/1968,324.7
13/07/1968,324.1
20/07/1968,323.9
27/07/1968,323.4
03/08/1968,322.4
10/08/1968,322.2
17/08/1968,322
24/08/1968,321.7
31/08/1968,321.4
07/09/1968,320.4
14/09/1968,321.1
21/09/1968,319.7
28/09/1968,319.8
05/10/1968,320.5
12/10/1968,320.5
19/10/1968,320.2
26/10/1968,319.9
02/11/1968,320.7
09/11/1968,320.8
16/11/1968,321.4
23/11/1968,321.7
30/11/1968,322
07/12/1968,322.4
14/12/1968,322.9
21/12/1968,323.3
28/12/1968,323.1
04/01/1969,323.3
11/01/1969,324
18/01/1969,324.3
25/01/1969,324.1
01/02/1969,324.1
08/02/1969,323.9
15/02/1969,324.3
22/02/1969,324.8
01/03/1969,325.1
08/03/1969,325.5
15/03/1969,325.7
22/03/1969,325.9
29/03/1969,325.8
05/04/1969,326.2
12/04/1969,327.1
19/04/1969,326.5
26/04/1969,326.5
03/05/1969,327.5
10/05/1969,327.8
17/05/1969,326.8
24/05/1969,326.9
31/05/1969,327.4
07/06/1969,326.5
14/06/1969,326.7
21/06/1969,326.7
28/06/1969,326.3
05/07/1969,326.1
12/07/1969,326
19/07/1969,325.7
26/07/1969,325.4
02/08/1969,324.5
09/08/1969,324.5
16/08/1969,323.1
23/08/1969,322.5
30/08/1969,323.1
06/09/1969,322.2
13/09/1969,322.7
20/09/1969,322.8
27/09/1969,321.9
04/10/1969,321.5
11/10/1969,321.8
18/10/1969,322
25/10/1969,321.9
01/11/1969,322.2
08/11/1969,322.6
15/11/1969,322.7
22/11/1969,323.1
29/11/1969,323.5
06/12/1969,323.9
13/12/1969,323.9
20/12/1969,324.2
27/12/1969,324.5
03/01/1970,324.7
10/01/1970,325.4
17/01/1970,325
24/01/1970,324.8
31/01/1970,325.5
07/02/1970,325.7
14/02/1970,326
21/02/1970,326.3
28/02/1970,326.1
07/03/1970,326.8
14/03/1970,326.8
21/03/1970,327.5
28/03/1970,326.9
04/04/1970,328.2
11/04/1970,327.8
18/04/1970,327.8
25/04/1970,328.5
